date,alt_value,alt_classification
2026-04-01,8,EXTREME FEAR
2026-03-31,11,EXTREME FEAR
2026-03-30,8,EXTREME FEAR
2026-03-29,9,EXTREME FEAR
2026-03-28,12,EXTREME FEAR
2026-03-27,13,EXTREME FEAR
2026-03-26,10,EXTREME FEAR
2026-03-25,14,EXTREME FEAR
2026-03-24,11,EXTREME FEAR
2026-03-23,8,EXTREME FEAR
2026-03-22,10,EXTREME FEAR
2026-03-21,12,EXTREME FEAR
2026-03-20,11,EXTREME FEAR
2026-03-19,23,EXTREME FEAR
2026-03-18,26,FEAR
2026-03-17,28,FEAR
2026-03-16,23,EXTREME FEAR
2026-03-15,15,EXTREME FEAR
2026-03-14,16,EXTREME FEAR
2026-03-13,15,EXTREME FEAR
2026-03-12,18,EXTREME FEAR
2026-03-11,15,EXTREME FEAR
2026-03-10,13,EXTREME FEAR
2026-03-09,8,EXTREME FEAR
2026-03-08,12,EXTREME FEAR
2026-03-07,12,EXTREME FEAR
2026-03-06,18,EXTREME FEAR
2026-03-05,22,EXTREME FEAR
2026-03-04,10,EXTREME FEAR
2026-03-03,14,EXTREME FEAR
2026-03-02,10,EXTREME FEAR
2026-03-01,14,EXTREME FEAR
2026-02-28,11,EXTREME FEAR
2026-02-27,13,EXTREME FEAR
2026-02-26,11,EXTREME FEAR
2026-02-25,11,EXTREME FEAR
2026-02-24,8,EXTREME FEAR
2026-02-23,5,EXTREME FEAR
2026-02-22,9,EXTREME FEAR
2026-02-21,8,EXTREME FEAR
2026-02-20,7,EXTREME FEAR
2026-02-19,9,EXTREME FEAR
2026-02-18,8,EXTREME FEAR
2026-02-17,10,EXTREME FEAR
2026-02-16,12,EXTREME FEAR
2026-02-15,8,EXTREME FEAR
2026-02-14,9,EXTREME FEAR
2026-02-13,9,EXTREME FEAR
2026-02-12,5,EXTREME FEAR
2026-02-11,11,EXTREME FEAR
2026-02-10,9,EXTREME FEAR
2026-02-09,14,EXTREME FEAR
2026-02-08,7,EXTREME FEAR
2026-02-07,6,EXTREME FEAR
2026-02-06,9,EXTREME FEAR
2026-02-05,12,EXTREME FEAR
2026-02-04,14,EXTREME FEAR
2026-02-03,17,EXTREME FEAR
2026-02-02,14,EXTREME FEAR
2026-02-01,14,EXTREME FEAR
2026-01-31,20,EXTREME FEAR
2026-01-30,16,EXTREME FEAR
2026-01-29,26,FEAR
2026-01-28,29,FEAR
2026-01-27,29,FEAR
2026-01-26,20,EXTREME FEAR
2026-01-25,25,EXTREME FEAR
2026-01-24,25,EXTREME FEAR
2026-01-23,24,EXTREME FEAR
2026-01-22,20,EXTREME FEAR
2026-01-21,24,EXTREME FEAR
2026-01-20,32,FEAR
2026-01-19,44,FEAR
2026-01-18,49,NEUTRAL
2026-01-17,50,NEUTRAL
2026-01-16,49,NEUTRAL
2026-01-15,61,GREED
2026-01-14,48,NEUTRAL
2026-01-13,26,FEAR
2026-01-12,27,FEAR
2026-01-11,29,FEAR
2026-01-10,25,EXTREME FEAR
2026-01-09,27,FEAR
2026-01-08,28,FEAR
2026-01-07,42,FEAR
2026-01-06,44,FEAR
2026-01-05,26,FEAR
2026-01-04,25,EXTREME FEAR
2026-01-03,29,FEAR
2026-01-02,28,FEAR
2026-01-01,20,EXTREME FEAR
2025-12-31,21,EXTREME FEAR
2025-12-30,23,EXTREME FEAR
2025-12-29,24,EXTREME FEAR
2025-12-28,24,EXTREME FEAR
2025-12-27,23,EXTREME FEAR
2025-12-26,20,EXTREME FEAR
2025-12-25,23,EXTREME FEAR
2025-12-24,24,EXTREME FEAR
2025-12-23,24,EXTREME FEAR
2025-12-22,25,EXTREME FEAR
2025-12-21,20,EXTREME FEAR
2025-12-20,20,EXTREME FEAR
2025-12-19,16,EXTREME FEAR
2025-12-18,17,EXTREME FEAR
2025-12-17,16,EXTREME FEAR
2025-12-16,11,EXTREME FEAR
2025-12-15,16,EXTREME FEAR
2025-12-14,21,EXTREME FEAR
2025-12-13,23,EXTREME FEAR
2025-12-12,29,FEAR
2025-12-11,29,FEAR
2025-12-10,26,FEAR
2025-12-09,22,EXTREME FEAR
2025-12-08,20,EXTREME FEAR
2025-12-07,20,EXTREME FEAR
2025-12-06,23,EXTREME FEAR
2025-12-05,28,FEAR
2025-12-04,26,FEAR
2025-12-03,28,FEAR
2025-12-02,23,EXTREME FEAR
2025-12-01,24,EXTREME FEAR
2025-11-30,28,FEAR
2025-11-29,28,FEAR
2025-11-28,25,EXTREME FEAR
2025-11-27,22,EXTREME FEAR
2025-11-26,15,EXTREME FEAR
2025-11-25,20,EXTREME FEAR
2025-11-24,19,EXTREME FEAR
2025-11-23,13,EXTREME FEAR
2025-11-22,11,EXTREME FEAR
2025-11-21,14,EXTREME FEAR
2025-11-20,11,EXTREME FEAR
2025-11-19,15,EXTREME FEAR
2025-11-18,11,EXTREME FEAR
2025-11-17,14,EXTREME FEAR
2025-11-16,10,EXTREME FEAR
2025-11-15,10,EXTREME FEAR
2025-11-14,16,EXTREME FEAR
2025-11-13,15,EXTREME FEAR
2025-11-12,24,EXTREME FEAR
2025-11-11,26,FEAR
2025-11-10,29,FEAR
2025-11-09,22,EXTREME FEAR
2025-11-08,20,EXTREME FEAR
2025-11-07,24,EXTREME FEAR
2025-11-06,27,FEAR
2025-11-05,23,EXTREME FEAR
2025-11-04,21,EXTREME FEAR
2025-11-03,42,FEAR
2025-11-02,37,FEAR
2025-11-01,33,FEAR
2025-10-31,29,FEAR
2025-10-30,34,FEAR
2025-10-29,51,NEUTRAL
2025-10-28,50,NEUTRAL
2025-10-27,51,NEUTRAL
2025-10-26,40,FEAR
2025-10-25,37,FEAR
2025-10-24,30,FEAR
2025-10-23,27,FEAR
2025-10-22,25,EXTREME FEAR
2025-10-21,34,FEAR
2025-10-20,29,FEAR
2025-10-19,29,FEAR
2025-10-18,23,EXTREME FEAR
2025-10-17,22,EXTREME FEAR
2025-10-16,28,FEAR
2025-10-15,34,FEAR
2025-10-14,38,FEAR
2025-10-13,38,FEAR
2025-10-12,24,EXTREME FEAR
2025-10-11,27,FEAR
2025-10-10,64,GREED
2025-10-09,70,GREED
2025-10-08,60,GREED
2025-10-07,70,GREED
2025-10-06,71,GREED
2025-10-05,74,GREED
2025-10-04,71,GREED
2025-10-03,63,GREED
2025-10-02,64,GREED
2025-10-01,49,NEUTRAL
2025-09-30,50,NEUTRAL
2025-09-29,50,NEUTRAL
2025-09-28,37,FEAR
2025-09-27,33,FEAR
2025-09-26,28,FEAR
2025-09-25,44,FEAR
2025-09-24,44,FEAR
2025-09-23,43,FEAR
2025-09-22,45,FEAR
2025-09-21,49,NEUTRAL
2025-09-20,48,NEUTRAL
2025-09-19,53,NEUTRAL
2025-09-18,52,NEUTRAL
2025-09-17,53,NEUTRAL
2025-09-16,52,NEUTRAL
2025-09-15,53,NEUTRAL
2025-09-14,55,GREED
2025-09-13,52,NEUTRAL
2025-09-12,57,GREED
2025-09-11,54,NEUTRAL
2025-09-10,49,NEUTRAL
2025-09-09,48,NEUTRAL
2025-09-08,51,NEUTRAL
2025-09-07,44,FEAR
2025-09-06,48,NEUTRAL
2025-09-05,48,NEUTRAL
2025-09-04,51,NEUTRAL
2025-09-03,55,GREED
2025-09-02,49,NEUTRAL
2025-09-01,46,FEAR
2025-08-31,48,NEUTRAL
2025-08-30,39,FEAR
2025-08-29,50,NEUTRAL
2025-08-28,48,NEUTRAL
2025-08-27,51,NEUTRAL
2025-08-26,48,NEUTRAL
2025-08-25,47,NEUTRAL
2025-08-24,53,NEUTRAL
2025-08-23,60,GREED
2025-08-22,50,NEUTRAL
2025-08-21,50,NEUTRAL
2025-08-20,44,FEAR
2025-08-19,56,GREED
2025-08-18,60,GREED
2025-08-17,64,GREED
2025-08-16,56,GREED
2025-08-15,60,GREED
2025-08-14,75,GREED
2025-08-13,73,GREED
2025-08-12,68,GREED
2025-08-11,70,GREED
2025-08-10,69,GREED
2025-08-09,67,GREED
2025-08-08,74,GREED
2025-08-07,62,GREED
2025-08-06,54,NEUTRAL
2025-08-05,60,GREED
2025-08-04,64,GREED
2025-08-03,53,NEUTRAL
2025-08-02,55,GREED
2025-08-01,65,GREED
2025-07-31,72,GREED
2025-07-30,74,GREED
2025-07-29,73,GREED
2025-07-28,75,GREED
2025-07-27,73,GREED
2025-07-26,72,GREED
2025-07-25,70,GREED
2025-07-24,71,GREED
2025-07-23,74,GREED
2025-07-22,72,GREED
2025-07-21,71,GREED
2025-07-20,72,GREED
2025-07-19,74,GREED
2025-07-18,73,GREED
2025-07-17,74,GREED
2025-07-16,70,GREED
2025-07-15,73,GREED
2025-07-14,74,GREED
2025-07-13,74,GREED
2025-07-12,79,EXTREME GREED
2025-07-11,71,GREED
2025-07-10,71,GREED
2025-07-09,66,GREED
2025-07-08,65,GREED
2025-07-07,73,GREED
2025-07-06,66,GREED
2025-07-05,67,GREED
2025-07-04,73,GREED
2025-07-03,73,GREED
2025-07-02,63,GREED
2025-07-01,64,GREED
2025-06-30,66,GREED
2025-06-29,68,GREED
2025-06-28,65,GREED
2025-06-27,65,GREED
2025-06-26,74,GREED
2025-06-25,66,GREED
2025-06-24,65,GREED
2025-06-23,47,NEUTRAL
2025-06-22,42,FEAR
2025-06-21,49,NEUTRAL
2025-06-20,54,NEUTRAL
2025-06-19,57,GREED
2025-06-18,52,NEUTRAL
2025-06-17,68,GREED
2025-06-16,61,GREED
2025-06-15,60,GREED
2025-06-14,63,GREED
2025-06-13,61,GREED
2025-06-12,71,GREED
2025-06-11,72,GREED
2025-06-10,71,GREED
2025-06-09,62,GREED
2025-06-08,62,GREED
2025-06-07,52,NEUTRAL
2025-06-06,45,FEAR
2025-06-05,57,GREED
2025-06-04,62,GREED
2025-06-03,64,GREED
2025-06-02,64,GREED
2025-06-01,56,GREED
2025-05-31,50,NEUTRAL
2025-05-30,60,GREED
2025-05-29,74,GREED
2025-05-28,71,GREED
2025-05-27,74,GREED
2025-05-26,73,GREED
2025-05-25,74,GREED
2025-05-24,66,GREED
2025-05-23,78,EXTREME GREED
2025-05-22,72,GREED
2025-05-21,70,GREED
2025-05-20,71,GREED
2025-05-19,74,GREED
2025-05-18,74,GREED
2025-05-17,74,GREED
2025-05-16,71,GREED
2025-05-15,70,GREED
2025-05-14,73,GREED
2025-05-13,70,GREED
2025-05-12,70,GREED
2025-05-11,70,GREED
2025-05-10,70,GREED
2025-05-09,73,GREED
2025-05-08,65,GREED
2025-05-07,67,GREED
2025-05-06,59,GREED
2025-05-05,52,NEUTRAL
2025-05-04,64,GREED
2025-05-03,65,GREED
2025-05-02,67,GREED
2025-05-01,53,NEUTRAL
2025-04-30,56,GREED
2025-04-29,60,GREED
2025-04-28,54,NEUTRAL
2025-04-27,61,GREED
2025-04-26,65,GREED
2025-04-25,60,GREED
2025-04-24,63,GREED
2025-04-23,72,GREED
2025-04-22,47,NEUTRAL
2025-04-21,39,FEAR
2025-04-20,37,FEAR
2025-04-19,32,FEAR
2025-04-18,33,FEAR
2025-04-17,30,FEAR
2025-04-16,29,FEAR
2025-04-15,38,FEAR
2025-04-14,31,FEAR
2025-04-13,45,FEAR
2025-04-12,43,FEAR
2025-04-11,25,EXTREME FEAR
2025-04-10,39,FEAR
2025-04-09,18,EXTREME FEAR
2025-04-08,24,EXTREME FEAR
2025-04-07,23,EXTREME FEAR
2025-04-06,34,FEAR
2025-04-05,30,FEAR
2025-04-04,28,FEAR
2025-04-03,25,EXTREME FEAR
2025-04-02,44,FEAR
